company_name,hq_location,description,founded_date,founders,num_employees,funding_status,last_funding_date,last_funding_type,estimated_revenue,website,description_full,last_funding_amount,top_5_investors,total_funding_amount,acquired_by,acquired_date,acquired_price,ipo_status,ipo_date,stock_symbol
Citi,"New York,New York,United States",Citigroup is a diversified financial services holding company that provides various financial products and services.,"Jun 16, 1812",Sanford Weill,10001+,IPO,"May 8, 2018",Post-IPO Equity,$10B+,www.citigroup.com,"Citigroup is a diversified financial services holding company that provides various financial products and services.The company operates through two segments, Global Consumer Banking (GCB) and Institutional Clients Group (ICG). The GCB segment offers traditional banking services to retail customers through retail banking, commercial banking, Citi-branded cards, and Citi retail services. The ICG segment offers various banking, and financial products and services to corporate, institutional, public sector, and high-net-worth clients. This segment provides wholesale banking products and services, including fixed-income and equity sales and trading, foreign exchange, prime brokerage, derivative services, equity and fixed-income research, corporate lending, investment banking, and advisory services, private banking, cash management, trade finance, and securities services.","$1,200,000,000","Abu Dhabi Investment Authority,ValueAct Capital","$8,700,000,000",—,—,—,Public,"Oct 8, 1998",C
OpenAI,"San Francisco,California,United States",OpenAI is an AI research and deployment company that conducts research and implements machine learning.,"Dec 11, 2015","Elon Musk,Greg Brockman,Ilya Sutskever,John Schulman,Sam Altman,Wojciech Zaremba",501-1000,—,"Feb 20, 2024",Secondary Market,$1B to $10B,www.openai.com,OpenAI is an AI research and deployment company that conducts research and implements machine learning. The research organization is dedicated to advancing artificial intelligence safely and beneficially.,—,"Microsoft,Andreessen Horowitz,Sequoia Capital,Y Combinator,Thrive Capital","$11,300,120,000",—,—,—,Private,—,—
PayPal,"San Jose,California,United States",PayPal is a financial service company that provides online payment solutions to its users worldwide.,"Dec 1, 1998","Elon Musk,Ken Howery,Luke Nosek,Max Levchin,Peter Thiel",10001+,M&A,"Jun 7, 2023",Post-IPO Debt,$1B to $10B,www.paypal.com/home,"PayPal has remained at the forefront of the digital payment revolution for more than 20 years. By leveraging technology to make financial services and commerce more convenient, affordable, and secure, the PayPal platform is empowering more than 375 million consumers and merchants in more than 200 markets to join and thrive in the global economy.","$5,000,000,000","Sequoia Capital,Deutsche Bank,Singtel,Goldman Sachs,Qualcomm Ventures","$5,216,000,000",eBay,"Jul 8, 2002","$1,500,000,000",Public,"Jul 20, 2015",PYPL
Capital One,"Mclean,Virginia,United States","Capital One is a diversified banking company that offers early and later stage venture, and debt financing investments.","Jul 21, 1994","George Overholser,Matt Cooper,Nigel Morris,Phil Kim,Richard D. Fairbank",10001+,IPO,"May 15, 2023",Post-IPO Equity,$1B to $10B,www.capitalone.com,"Capital One Financial Corporation, incorporated in July 21, 1994, is a diversified banking company focused primarily on consumer and commercial lending and deposit origination. Its principal business segments are Local Banking and National Lending. Local Banking includes consumer, small business and commercial deposits, and lending conducted within its branch network. The National Lending segment consists of three sub-segments:- The U.S. Card sub-segment, which consists of domestic consumer credit and debit card activities;- The Auto Finance sub-segment, which includes automobile and other motor vehicle financing activities,- The Global Financial Services sub-segment consisting of international lending activities, small business lending, installment loans, home loans, healthcare financing and other diversified activities.","$954,000,000",Berkshire Hathaway,"$954,000,000",—,—,—,Public,"Nov 25, 1994",COF
Amazon,"Seattle,Washington,United States","Amazon is a global tech firm with a focus on e-commerce, cloud computing, digital streaming, and artificial intelligence.","Jul 5, 1994",Jeff Bezos,10001+,IPO,"Jan 3, 2023",Post-IPO Debt,$10B+,amazon.com,"Amazon operates a vast online marketplace where customers can purchase a wide variety of products, including electronics, books, apparel, household goods, and more. The company has a robust logistics and delivery network, allowing for efficient shipping and quick delivery times for customers around the world. Amazon started as an online bookstore but rapidly expanded its product and service offerings over the years.","$8,000,000,000","DBS Bank,Mizuho Bank,Kleiner Perkins,AOL","$8,108,000,000",—,—,—,Public,"May 15, 1997",AMZN
SAP,"Walldorf,Baden-Wurttemberg,Germany","SAP provides enterprise application software to various industries, including consumer, discrete manufacturing, public services.","Apr 1, 1972","Andreas Neumeier,Claus Wellenreuther,Dietmar Hopp,Hans-Werner Hector,Hasso Plattner,Klaus Tschira",10001+,IPO,"Apr 24, 2019",Post-IPO Equity,$1B to $10B,www.sap.com,"SAP is a technology company that develops enterprise application software for companies and industries across diverse sectors. The company offers solutions covering various lines of businesses, including asset management, commerce, finance, human resources, manufacturing, marketing, sales, services, sourcing and procurement, supply chain, and sustainability as well as research and development, and engineering.","$1,300,000,000","Elliott Investment Management,EASME - EU Executive Agency for SMEs","$1,301,371,240",—,—,—,Public,"Aug 14, 1998",SAP
Compass,"New York,New York,United States","Compass is a real estate technology company that provides an online platform for buying, renting, and selling real estate assets.","Oct 4, 2012","Burton Rhodes,Jason Wieloch,Mike Toltzis,Mike Weiss,Ori Allon,Robert Reffkin,Stephanie Mallios,Ugo Di Girolamo",10001+,IPO,"Jul 30, 2019",Series G,$1B to $10B,www.compass.com,"Compass is a real estate technology company that provides an online platform for buying, renting, and selling real estate assets.Its end-to-end platform supports the entire buying and selling workflow by pairing the industry’s top talent with technology to make the search and sell experience intelligent and seamless. Compass operates in 22+ regions across the United States including New York, Los Angeles, and Orange County, Chicago, San Francisco, Boston, Washington D.C., South Florida, The Hamptons, Santa Barbara and Montecito, San Diego, Seattle and Eastside, Philadelphia, Connecticut, Westchester, Aspen, Boulder, Denver, Atlanta, Austin, and Central Texas, Dallas-Fort Worth, Houston, Nashville, and Lake Tahoe.The firm was founded in 2012 by Ugo Di Girolamo, Ori Allon, and Robert Reffkin in New York, New York.","$370,000,000","Fidelity,Alumni Ventures,Thrive Capital,Founders Fund,.406 Ventures","$1,528,000,000",—,—,—,Public,"Apr 1, 2021",COMP
Netflix,"Los Gatos,California,United States",Netflix is an online streaming platform that enables users to watch TV shows and movies.,"Jan 1, 1997","Jim Cook,Marc Randolph,Reed Hastings",10001+,IPO,"May 5, 2018",Post-IPO Debt,$10B+,www.netflix.com,"Netflix is an online platform that enables users to watch TV shows and movies on smart TVs, gaming consoles, PCs, Macs, mobiles, tablets, and so on. It provides its services under three segments: international streaming, domestic streaming, and domestic DVD.The network enables members to access and view more than one billion hours of TV shows and movies per month, including Netflix's original series. Members can play, pause, and resume watching its content without commercial breaks or commitments. The company also provides DVDs-by-mail membership services.Netflix was founded in 1997 by Mitch Lowe, Reed Hastings, and Marc Randolph, and is headquartered in Los Gatos, California.","$2,666,198","TCV,Foundation Capital,IVP,WS Investments,Groupe Arnault","$5,007,714,724",—,—,—,Public,"May 23, 2002",NFLX
Cloudflare,"San Francisco,California,United States",Cloudflare is a web performance and security company that provides online services to protect and accelerate websites online.,Jun 2009,"Lee Holloway,Matthew Prince,Michelle Zatlyn",501-1000,IPO,"Mar 12, 2019",Series E,$100M to $500M,www.cloudflare.com,"Cloudflare is a web performance and security company that provides online services to protect and accelerate websites online. Its online platforms include Cloudflare CDN that distributes content around the world to speed up websites, Cloudflare optimizer that enables web pages with ad servers and third-party widgets to download Snappy software on mobiles and computers, CloudFlare security that protects websites from a range of online threats including spam, SQL injection, and DDOS, Cloudflare analytics that gives insight into website’s traffic including threats and search engine crawlers, Keyless SSL that allows organizations to keep secure sockets layer (SSL) keys private, and Cloudflare applications that help its users install web applications on their websites.Lee Holloway, Matthew Prince, and Michelle Zatlyn founded Cloudflare in 2009, with its headquarters in San Francisco in California.","$150,000,000","Fidelity,Google,Franklin Templeton,Employee Stock Option Fund,Union Square Ventures","$332,200,000",—,—,—,Public,"Sep 12, 2019",NET
Bumble,"Austin,Texas,United States","Bumble is a social networking platform focused on making romance, friendship, and business connections.",2014,Whitney Wolfe Herd,1001-5000,IPO,"Mar 3, 2023",Post-IPO Secondary,$500M to $1B,bumble.com,"Bumble is an app that brings dating, friend-finding, and career-building into a single social networking platform.The location-based social app facilitates communication between interested users. It enables people to connect and build equitable and healthy relationships. In heterosexual matches, only female users can make the first contact with matched male users, while in same-sex matches either person can send a message first. Users can sign up using their phone number or Facebook profile, and have options of searching for romantic matches or, in ""BFF mode"", friends. Bumble Bizz facilitates business communications.It was founded in 2014 by Whitney Wolfe Herd and is based in Austin, Texas.","$313,500,000","Accel,Greycroft,Headline,Able Partners,Priyanka Chopra","$313,500,000",—,—,—,Public,"Aug 19, 2021",B2MB34
Intuit,"Mountain View,California,United States","Intuit offers business and financial management solutions for small businesses, consumers, and self-employed individuals.",1983,"Scott Cook,Tom Proulx",10001+,IPO,"Sep 12, 2023",Post-IPO Debt,$1B to $10B,www.intuit.com,"Intuit offers business and financial management solutions for SMBs, financial institutions, consumers, and accounting professionals.The company’s product portfolio includes TurboTax, a software solution that offers free tax filing, efile taxes, and income tax returns; Quicken; QuickBooks; Mint.com, and more. It also offers end-to-end solutions for online tax preparation, download products, mobile tax prep, mortgage interest and property tax, corporations tax, military tax, and more.Intuit was founded by Tom Proulx and Scott Cook in 1983 and is based in Mountain View, California. The company serves customers in North America, Asia, Europe, and Australia with offices in the United States, Canada, India, U.K., and Singapore.","$4,000,000,000","Kleiner Perkins,Sierra Ventures,Technology Venture Investors","$4,018,851,000",—,—,—,Public,"May 26, 2017",INTU
JP Morgan Chase,"New York,New York,United States","JP Morgan Chase is a global financial services provider that offers investment banking, asset management, treasury, and other services.","Dec 1, 2000","Arthur Gurley,John Pierpont Morgan,John Thompson",10001+,IPO,"Apr 18, 2019",Grant,$10B+,www.jpmorganchase.com,"JPMorgan Chase is a financial holding company, provides various financial services worldwide. The company's Investment Bank segment provides investment banking products and services, including advising on corporate strategy and structure, capital raising in equity and debt markets, risk management, market-making in cash securities and derivative instruments, and prime brokerage and research.It was founded in February 2000 and is based in New York, United States.","$3,000,000",—,"$3,000,000",—,—,—,Public,"Feb 1, 1998",JPM
Bank of America,"Charlotte,North Carolina,United States","Bank of America is a financial institution that offers credit cards, home loans, and auto loan services.",2007,Kevin Little,10001+,IPO,"Jul 28, 2020",Post-IPO Equity,$10B+,www.bankofamerica.com,"Bank of America is a financial institution, serving individual consumers, small- and middle-market businesses, and large corporations with a full range of banking, investing, asset management, and other financial and risk management products and services.They serve approximately 51 million consumer and small business relationships with approximately 5,300 retail banking offices and approximately 16,350 ATMs and award-winning online banking with 30 million active users and more than 13 million mobile users. It offers industry-leading support to approximately 3 million small business owners through a suite of innovative, easy-to-use online products and services. The company serves clients through operations in more than 40 countries.Bank of America is a wealth management company specializing in corporate and investment banking and trading across a broad range of asset classes, serving corporations, governments, institutions, and individuals around the world.Bank of America Corporation stock (NYSE: BAC) is a component of the Dow Jones Industrial Average and is listed on the New York Stock Exchange. It was founded in 1998 and is headquartered in Charlotte, North Carolina, United States.","$400,000,000",Berkshire Hathaway,"$1,200,000,000",—,—,—,Public,"Jan 13, 1978",BAC
Duolingo,"Pittsburgh,Pennsylvania,United States",Duolingo is a language-learning education platform that offers 98 total courses across nearly 40 distinct languages.,2011,"Luis von Ahn,Severin Hacker",501-1000,IPO,"Nov 18, 2020",Series H,$500M to $1B,www.duolingo.com,"Duolingo is a language-learning education platform that offers 98 total courses across nearly 40 distinct languages. The platform enables anyone to learn languages for free, though they can also pay $7 each month for a premium service that removes ads, delivers offline access, and more. It also claims 30 million users are actively learning languages on its platform, and it has emerged as a downloaded educational app globally.Duolingo provides ""Duolingo for Schools"" with features designed to allow teachers to track their students. It uses many services in the Amazon Web Services suite of products, including Amazon DynamoDB, Amazon Virtual Private Cloud, nearly 200 virtual instances in Amazon Elastic Compute Cloud (EC2), Amazon Simple Storage Service (S3), and Amazon Relational Database Service (RDS). The company uses the freemium model; the app and the website are accessible without charge, although Duolingo also offers a premium service for a fee.","$35,000,000","General Atlantic,Union Square Ventures,Kleiner Perkins,CapitalG,Drive Capital","$183,300,000",—,—,—,Public,"Dec 9, 2021",DUOL
Peloton,"New York,New York,United States",Peloton is an interactive fitness platform reinventing fitness with live and on-demand boutique studio classes.,2012,"Graham Stanton,Hisao Kushi,John Foley,Tom Cortese,Yony Feng",1001-5000,IPO,"Feb 9, 2021",Post-IPO Debt,$1B to $10B,www.onepeloton.com,"Peloton is revolutionizing the fitness industry by merging high design with modern technology to provide access to live and on-demand fitness group classes led by elite NYC instructors. With instant access to classes, performance tracking metrics, and a motivating real-time leaderboard, Peloton is changing the way people get fit through a comprehensive and socially connected experience that makes every workout both efficient and addicting. By merging hardware, software, and content, the company creates the most unique, efficient, and addicting workout experience on the market. Peloton is sold online and in its growing number of showrooms across the country.The company was founded in 2012 and is headquartered in New York.","$875,000,000","Fidelity,TCV,Kleiner Perkins,L Catterton,Wellington Management","$1,869,707,000",—,—,—,Public,"Sep 25, 2019",PTON
T-Mobile,"Bellevue,Washington,United States","T-Mobile is a telecommunications company that provides wireless communication services, including mobile phone and internet services.","Sep 18, 1994",John W. Stanton,10001+,M&A,"Jan 9, 2024",Post-IPO Debt,$10B+,www.t-mobile.com,"T-Mobile is a wireless telecommunications company that redefines the way consumers and businesses buy wireless services. The company is committed to transforming the way that consumers and businesses purchase and use wireless services by offering a range of flexible, affordable, and feature-rich plans.One of T-Mobile's key strategies is to challenge the traditional wireless carrier model by offering customers more choice and control over their wireless plans. The company has introduced a number of groundbreaking initiatives, including its ""Un-carrier"" program, which eliminates long-term contracts and provides customers with more transparent pricing and billing.T-Mobile has also invested heavily in expanding and improving its network coverage, which now covers more than 99% of the US population. The company's network has been recognized for its speed and reliability, and T-Mobile has received numerous awards for its wireless service quality.In addition to its consumer-focused offerings, T-Mobile has also developed a range of solutions designed to meet the needs of businesses of all sizes. These include wireless plans, mobile device management tools, and customized solutions for industries such as healthcare, transportation, and retail.","$3,000,000,000","Mid Europa Partners,Lehman Brothers Venture Partners","$10,070,224,359",Deutsche Telekom,"Feb 10, 2014","€828,000,000",Public,"Sep 15, 2015",TMUS
Wayfair,"Boston,Massachusetts,United States",Wayfair is an online retailer that offers a wide range and selection of home products.,"Aug 1, 2002","Niraj Shah,Steve Conine",10001+,IPO,"May 8, 2023",Post-IPO Debt,$1B to $10B,www.wayfair.com,"Wayfair is a pure-play online retailer of home goods in the US. Key categories for the company include furniture, decor, kitchen & dining products, home improvement, patio & garden, and baby.The company, founded in 2002 as CSN Stores, is based in Boston, MA, and has additional offices in Utah, Kentucky, New York, Galway, Ireland, London, England, and Berlin, Germany.  Wayfair employs over 2,300 people across those offices.In 2014, Wayfair's sales exceeded $1.3 billion.","$600,000,000","T. Rowe Price,ICONIQ Growth,Spark Capital,Great Hill Partners,HarbourVest Partners","$2,278,000,000",—,—,—,Public,"Oct 2, 2014",W
Roku,"Los Gatos,California,United States",Roku develops video streaming devices that provide users access to Internet-streamed video or audio services.,"Oct 1, 2002",Anthony Wood,1001-5000,IPO,"Nov 9, 2015",Series H,$500M to $1B,www.roku.com,"Roku pioneered streaming for the TV, and we aspire to power every TV in the world. We developed a streaming platform that delivers a best-in-class user experience. At the heart of the Roku platform is our proprietary operating system, the Roku OS, which we built from the ground up. Roku is recognized for streaming innovation. This is demonstrated by our growing, passionate and highly engaged customer base who love Roku streaming devices because of our coveted content selection, ease of use, and value.","$45,500,000","Netflix,Fidelity,Dow Jones,Employee Stock Option Fund,Good Technology","$208,609,000",—,—,—,Public,"Sep 28, 2017",ROKU
DocuSign,"San Francisco,California,United States","DocuSign helps small- and medium-sized businesses collect information, automate data workflows, and sign on various devices.",2003,Tom Gonser,1001-5000,IPO,"Jun 13, 2017",Secondary Market,$1B to $10B,www.docusign.com,"DocuSign operates a cloud-based electronic signature platform that helps small- and medium-sized businesses, enterprises, and individuals collect information, automate data workflows, and sign on various devices.The company’s platform automates manual and paper-based processes that allow users to manage various aspects of documented business transactions, including identity management, authentication, digital signature, forms and data collection, collaboration, and workflow automation and storage.The company also provides training and support services. Its platform serves the sales, human resources, finance, information technology, operations, legal, marketing, facilities, support, product management, and procurement departments in the financial services, healthcare, technology, higher education, insurance, real estate, life sciences, and government sectors in the United States and internationally.DocuSign was incorporated in 2003 and is based in San Francisco, California with additional offices in London, Sydney, Sao Paulo, and Dublin.",—,"Microsoft,Bain Capital Ventures,Visa,EquityZen,Google Ventures","$536,199,999",—,—,—,Public,"Apr 27, 2018",DOCU
Redfin,"Seattle,Washington,United States",Redfin is a technology-powered real estate brokerage company that simplifies the process of buying and selling homes.,2004,"David Eraker,David Selinger,Michael Dougherty",1001-5000,IPO,"Oct 24, 2023",Post-IPO Debt,$500M to $1B,www.redfin.com,"Redfin is a provider of real estate search and brokerage services through a combination of real estate web platforms accessible to agents. It represents people buying and selling homes and features all of the broker-listed homes for sale, as well as for-sale-by-owner properties. Its real estate agents work with the company's team of engineers to create tools that make the buying and selling process easier. On their site, Redfin combines MLS listing information with historical data into a single map. Customers can search for homes by neighborhood, city, zip code, MLS number, or school zone, and can refine results using detailed parameters like price and number of beds or baths.","$250,000,000","Apollo,T. Rowe Price,Madrona,Wellington Management,Vulcan Capital","$569,620,000",—,—,—,Public,"Jul 28, 2017",RDFN
Verizon,"New York,New York,United States",Verizon Communications is a broadband and telecommunications company that provides information and entertainment services.,"Oct 7, 1983",—,10001+,IPO,"Sep 16, 2022",Grant,$10B+,www.verizon.com,"Verizon Communications is a broadband and telecommunications company that operates 4G LTE and 3G networks as well as provides information and entertainment services.The company serves mass market, business, government, and wholesale customers by delivering broadband and other wireline and wireless communication innovations. Verizon Communications Wireless operates America’s largest wireless network that serves nearly 102 million customers nationwide. Its wireline operations include Verizon Business and Verizon Telecom.Founded in 1983, Verizon Communications is headquartered in New York.","$11,500,000","ATN International,U.S. Department of Defense,NYSERDA,Connect Maryland","$30,103,192,466",—,—,—,Public,"Dec 2, 1983",VZ
